,number,value,datetime_start,datetime_complete,duration,params_dim_hidden,params_n_layers,params_w0,state
36,36,0.05280989781022072,2022-12-13 20:04:45.287751,2022-12-13 20:05:41.831267,0 days 00:00:56.543516,256,5,18.955464184347285,COMPLETE
37,37,0.0637671947479248,2022-12-13 20:05:41.856494,2022-12-13 20:06:40.510448,0 days 00:00:58.653954,256,6,9.107732169007496,COMPLETE
38,38,0.02693670056760311,2022-12-13 20:06:40.537615,2022-12-13 20:07:36.395677,0 days 00:00:55.858062,256,5,25.001078827782084,COMPLETE
39,39,0.054093241691589355,2022-12-13 20:07:36.423438,2022-12-13 20:08:31.436894,0 days 00:00:55.013456,256,5,23.578642159734834,COMPLETE
40,40,0.05145545303821564,2022-12-13 20:08:31.458648,2022-12-13 20:09:31.004437,0 days 00:00:59.545789,256,6,31.840114689928857,COMPLETE
41,41,0.0416158102452755,2022-12-13 20:09:31.031449,2022-12-13 20:10:25.830028,0 days 00:00:54.798579,256,5,27.398279176295834,COMPLETE
42,42,0.10359913110733032,2022-12-13 20:10:25.857146,2022-12-13 20:11:14.838701,0 days 00:00:48.981555,128,6,18.846471768127422,COMPLETE
43,43,0.060597244650125504,2022-12-13 20:11:14.867212,2022-12-13 20:12:09.735039,0 days 00:00:54.867827,256,5,16.839323948755446,COMPLETE
44,44,0.07048572599887848,2022-12-13 20:12:09.760205,2022-12-13 20:13:04.140100,0 days 00:00:54.379895,256,5,10.273157702689284,COMPLETE
45,45,0.043490491807460785,2022-12-13 20:13:04.165261,2022-12-13 20:13:56.829017,0 days 00:00:52.663756,256,5,20.785956989462772,COMPLETE
46,46,0.05393568426370621,2022-12-13 20:13:56.854127,2022-12-13 20:14:47.067140,0 days 00:00:50.213013,256,4,24.413882409081488,COMPLETE
47,47,0.5905824899673462,2022-12-13 20:14:47.094821,2022-12-13 20:15:30.908417,0 days 00:00:43.813596,64,5,26.74712433259957,COMPLETE
48,48,0.0718485563993454,2022-12-13 20:15:30.936456,2022-12-13 20:16:23.823256,0 days 00:00:52.886800,256,5,47.65618828707774,COMPLETE
49,49,0.07450296729803085,2022-12-13 20:16:23.848156,2022-12-13 20:17:18.799810,0 days 00:00:54.951654,256,6,31.93131421043789,COMPLETE
50,50,0.037011731415987015,2022-12-13 20:17:18.828374,2022-12-13 20:18:09.401946,0 days 00:00:50.573572,256,4,7.413559305224654,COMPLETE
51,51,0.04024028033018112,2022-12-13 20:18:09.427090,2022-12-13 20:19:11.889610,0 days 00:01:02.462520,192,3,7.512977013334101,COMPLETE
52,52,0.09063530713319778,2022-12-13 20:19:11.919436,2022-12-13 20:20:17.151990,0 days 00:01:05.232554,256,4,3.370126498006762,COMPLETE
53,53,0.28439629077911377,2022-12-13 20:20:17.176641,2022-12-13 20:21:17.278590,0 days 00:01:00.101949,192,2,6.906411871139419,COMPLETE
